overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image,pos_scores,neg_scores,Review,Rating,Positive_score,Negative_score,Objective_score,Overall_sentiment
5.0,True,"10 20, 2014",A1D4G1SNUZWQOT,7106116521,Tracy,Exactly what I needed.,perfect replacements!!,1413763200.0,,,,0.25,0.25,,,,,,
2.0,True,"09 28, 2014",A3DDWDH9PX2YX2,7106116521,Sonja Lau,"I agree with the other review, the opening is too small.  I almost bent the hook on some very expensive earrings trying to get these up higher than just the end so they're not seen.  Would not buy again but for the price, not sending back.","I agree with the other review, the opening is ...",1411862400.0,3.0,,,0.875,0.625,,,,,,
4.0,False,"08 25, 2014",A2MWC41EW7XL15,7106116521,Kathleen,Love these... I am going to order another pack to keep in work; someone (including myself) is always losing the back to an earring.  I don't understand why all fish hook earrings don't have them.  Just wish that they were a tiny bit longer.  :),My New 'Friends' !!,1408924800.0,,,,0.875,0.875,,,,,,
2.0,True,"08 24, 2014",A2UH2QQ275NV45,7106116521,Jodi Stoner,too tiny an opening,Two Stars,1408838400.0,,,,0.0,0.0,,,,,,
3.0,False,"07 27, 2014",A89F3LQADZBS5,7106116521,Alexander D.,Okay,Three Stars,1406419200.0,,,,0.125,0.125,,,,,,
5.0,True,"07 19, 2014",A29HLOUW0NS0EH,7106116521,Patricia R. Erwin,Exactly what I wanted.,Five Stars,1405728000.0,,,,0.25,0.0,,,,,,
4.0,True,"05 31, 2014",A7QS961ROI6E0,7106116521,REBECCA S LAYTON,"These little plastic backs work great.  No more loosing ""hook"" earrings!  Wish I had ordered these sooner before I had lost some of my favorite earrings!",Works great!,1401494400.0,,,,0.125,0.875,,,,,,
3.0,True,"09 22, 2013",A1BB77SEBQT8VX,B00007GDFV,Darrow H Ankrum II,mother - in - law wanted it as a present for her sister. she liked it and said it would work.,bought as a present,1379808000.0,,{'Color:': ' Black'},,0.375,0.125,,,,,,
3.0,True,"07 17, 2013",AHWOW7D1ABO9C,B00007GDFV,rosieO,"Item is of good quality. Looks great, too. But it does not fit 100's! But it can be stretched to fit them if you carefully push bottom of case with your fingers. Then shove in a pack of 100's(max) and level it out as you close case stretching case closed. Leave a pk.in it for month or so & was la! Buxton is usually a good quality product!",Buxton heiress collection,1374019200.0,,{'Color:': ' Black'},,3.75,0.375,,,,,,
3.0,True,"04 13, 2013",AKS3GULZE0HFC,B00007GDFV,M. Waltman,"I had used my last el-cheapo fake leather cigarette case for SEVEN YEARS. It still closed completely but the plastic made to look like leather was literally falling off, so it was time for a new one. Cigarette cases for kings size cigs are not easy to come by these days I discovered, but I was thrilled to find this one on Amazon. It was a great price, REAL LEATHER, and even had the cool zipper pouch on the back. I was so excited to get my case and toss that other one! Well, within THREE DAYS one of the gold clasps literally broke off! I couldn't believe it! I tried to super glue it back on and was not successful. so, I still use the case but it doesn't close securely. I was very disappointed that my $3.00 plastic one lasted 7 years and this real nice leather one lasted 3 days!! But I still love the zipper pouch on the back, it's great for the spare key to my car because I will not go ANYWHERE without my cigarettes!",Top Clasp Broke Within 3 days!,1365811200.0,,{'Color:': ' Black'},,4.75,2.625,,,,,,
4.0,True,"03 9, 2013",A38NS6NF6WPXS,B00007GDFV,BTDoxies,This brand has been around a long time and you can count on good quality merchandise.  Held up well with no rips or stitching problems!,BUXTON QUALITY!,1362787200.0,,{'Color:': ' Black'},,1.125,0.75,,,,,,
2.0,True,"01 27, 2013",A1KOKO3HTSAI1H,B00007GDFV,Robin Howard,I smoke 100's and these are NOT made for them.  I can get my cigarettes in it but it won't close. I was very disappointed.,Buxton Heiress Collection Black Leather Cigarette case,1359244800.0,,{'Color:': ' Black'},,0.125,0.5,,,,,,
1.0,True,"01 4, 2013",A1G3S57JGZNPCL,B00007GDFV,kimberly a schotthoefer,"cheap and cheesy, but i guess i could have expected that for the price, won't purchase another without seeing first",inexpensive case,1357257600.0,,{'Color:': ' Black'},,0.375,0.5,,,,,,
1.0,True,"07 30, 2012",AGBL3TTP6GV4X,B00007GDFV,gallina,"I ordered a ladies cigarette case for my wife, and a pack of Marlboro 100's would not fit in the case!!!!  I was ripped off!!!  A cigarette case should be able to hold any cigarette pack!!!!  I will not do business with Silverhooks again!!!!

It's not even worth the postage to send it back!!!!

Dissatisfied big time!!!!",i was ripped off!!!!,1343606400.0,,{'Color:': ' Black'},,1.125,0.875,,,,,,
4.0,True,"03 12, 2010",A1Y36BSE9GKXLV,B00007GDFV,Ms Irish,"Received the case in less than a week...was very satisfied with the product...only one problem...not really a problem with product, but with price as inside the product was a Buxton tag that showed sugg retail at $9.99 and I paid $11.99.  Hmmm...didn't quite understand this, but what are you going to do?!  Beware...as I think that had I gone to the Buxton web site I may have been able to obtain the same product for the sugg retail price.",Great bargain,1268352000.0,2.0,,,0.875,1.75,,,,,,
3.0,True,"10 31, 2017",A1L1U968VNYVA4,B00007GDFV,J.G.,Love it but it tore up shortly after I got it. I ordered two and they both tore at the part that connects to the metal. Great seller though. Very prompt.,Love it but it tore up shortly after I got ...,1509408000.0,,{'Color:': ' Black'},,0.625,0.0,,,,,,
5.0,True,"10 24, 2017",A1NSKPSR0XZ0C9,B00007GDFV,Jules,I love it it is just what I was looking for thank you!,Perfect just what I was looking for!,1508803200.0,,{'Color:': ' Black'},,0.5,0.0,,,,,,
5.0,False,"10 13, 2017",A3O5SXH5O8DWRP,B00007GDFV,Debra Humphreys,"Quality product, I am very happy with my purchase.",I am very happy with my purchase,1507852800.0,,{'Color:': ' Black'},,1.25,0.0,,,,,,
4.0,False,"10 11, 2017",A3I52T3ZCLRZZA,B00007GDFV,Ann Bishop,"I like it except it is not quite big enough for the brand I smoke which is Salem Slim 100s.  They only come in the box type, I do tear the top of the box off but they still get a little smashed up at the filters.",I like it except it is not quite big enough for ...,1507680000.0,,{'Color:': ' Black'},,0.5,0.375,,,,,,
3.0,True,"10 7, 2017",A3VWTJR1QOI7JR,B00007GDFV,Amazon Customer,It is smaller than what I was expecting. The zipper compartment is not big enough .,Three Stars,1507334400.0,,{'Color:': ' Black'},,0.5,0.75,,,,,,
5.0,True,"09 17, 2017",A1L5PG0YZ4TNSZ,B00007GDFV,karen puckett,love it,Five Stars,1505606400.0,,{'Color:': ' Black'},,0.5,0.0,,,,,,
1.0,True,"07 27, 2017",A19OTBIPAMJUU1,B00007GDFV,Constance J Tomazic,Don't like it. It will not hold my cigarettes. Not long enough.,One Star,1501113600.0,,{'Color:': ' Black'},,0.125,0.0,,,,,,
4.0,True,"07 16, 2017",A3IT0MD9QUFZEK,B00007GDFV,Amazon Customer,love,Four Stars,1500163200.0,,{'Color:': ' Black'},,0.625,0.0,,,,,,
4.0,True,"07 2, 2017",A1IER9LE7FBJ95,B00007GDFV,Angel3954,Wonderful item. I have purchased several of these. They last forever unless you lose them.  I am happy with my purchase Buxton is made to last.,Made to last,1498953600.0,,{'Color:': ' Black'},,1.625,1.5,,,,,,
5.0,True,"06 27, 2017",A3DZQ7TB4ZUWKG,B00007GDFV,yolanda hernandez,"I just love it! I think this is my six or seven case from Buxton. They are very stylish, durable and proper if you don't want your cigarette packet crushed inside your purse",LOVE IT!,1498521600.0,,{'Color:': ' Black'},,2.0,0.375,,,,,,
4.0,True,"06 22, 2017",A199RALD1NLRC1,B00007GDFV,Joni,made well but will only hold a small pack of ciggs I don't smoke I use  this as a tip holder for work I bought a different one last year but it is falling apart so I replaced it with this brand.  The zipper compartment won't hold anything its to small,made well but will only hold a small pack of ...,1498089600.0,,{'Color:': ' Black'},,0.75,1.75,,,,,,
5.0,True,"06 8, 2017",AGKFQHYCZNM4C,B00007GDFV,BB,"I've ordered quite a few cases from Amazon and this one is my favorite!!
Beautiful, slim and perfect for smaller handbags!",... few cases from Amazon and this one is my favorite!! Beautiful,1496880000.0,,{'Color:': ' Black'},,0.25,0.375,,,,,,
5.0,True,"05 29, 2017",A3U5MNMZSEDZZP,B00007GDFV,Mark St,Holds my cigarettes and it is durable and looks great.,Perfect,1496016000.0,,{'Color:': ' Black'},,0.0,0.0,,,,,,
1.0,True,"05 28, 2017",A3BAY1QXF3EWNZ,B00007GDFV,yolanda,Does not hold 120s to small for a lighter,One Star,1495929600.0,,{'Color:': ' Black'},,0.0,0.375,,,,,,
1.0,True,"05 5, 2017",A2Z3HHIK3TTV0G,B00007GDFV,Amazon Customer,"It fits my cigarettes, however very cheep material and smaller than the usual size of these. I would never purchase another one. It seems like a dollar store item",Smaller in size than usual cigarette pouch,1493942400.0,,{'Color:': ' Black'},,1.0,0.75,,,,,,
1.0,True,"04 26, 2017",A2EUX33TUV4ZDT,B00007GDFV,Amazon Customer,Terrible quality,One Star,1493164800.0,,{'Color:': ' Black'},,0.375,0.625,,,,,,
3.0,True,"04 26, 2017",A1L18RRN4JRM9X,B00007GDFV,Maria T Franklin,nice but does not fit 100s,Three Stars,1493164800.0,,{'Color:': ' Black'},,1.625,0.0,,,,,,
4.0,True,"04 22, 2017",A250EKRI26TIFN,B00007GDFV,Angie Qualls,Good quality,Four Stars,1492819200.0,,{'Color:': ' Black'},,1.125,0.0,,,,,,
4.0,True,"03 29, 2017",A2MNX0U99140FN,B00007GDFV,Pat,I like the case.  A lighter fits in the opening without a problem,Four Stars,1490745600.0,,{'Color:': ' Black'},,0.125,1.375,,,,,,
5.0,True,"03 18, 2017",AY49M8RQ2DQEZ,B00007GDFV,Dawn Babineaux,"I love it , it is the first one that I have found too fit the 120's cigerette's. Thanks so much for finding this case for me.","I love it, it is the first one that I ...",1489795200.0,,{'Color:': ' Black'},,1.125,0.0,,,,,,
5.0,True,"02 1, 2017",A3AEN8LPIEP9M3,B00007GDFV,Amazon Customer,I love it thank you,Five Stars,1485907200.0,,{'Color:': ' Black'},,0.5,0.0,,,,,,
3.0,True,"01 26, 2017",A2B9FMHID9LQIP,B00007GDFV,Carolynmlubbe,nice but to small for my 100s cigs,Three Stars,1485388800.0,,{'Color:': ' Black'},,0.0,0.375,,,,,,
1.0,True,"01 25, 2017",A1ERA1AO8X51GM,B00007GDFV,Amazon Customer,"Says it fits 100s, nut does not",Great for reg size cigarettes,1485302400.0,,{'Color:': ' Black'},,0.75,0.125,,,,,,
4.0,True,"01 17, 2017",A3SV82X8L7P7BC,B00007GDFV,Amazon Customer,"The outside pocket isn't wide enough for my needs, but these are SO HARD TO FIND anymore.",Four Stars,1484611200.0,,{'Color:': ' Black'},,1.0,1.0,,,,,,
5.0,True,"01 7, 2017",A1R3T24ZJPSON4,B00007GDFV,Paul A Ladd,Excellent product!,Five Stars,1483747200.0,,{'Color:': ' Black'},,1.0,0.0,,,,,,
5.0,True,"12 22, 2016",A2WMR9TYUUTERH,B00007GDFV,Danette,Excellent product and service! Thank you!,Five Stars,1482364800.0,,{'Color:': ' Black'},,1.0,0.0,,,,,,
5.0,True,"12 16, 2016",A3G58CS3X3Y2GN,B00007GDFV,Jane H. McGarity,Perfect cigarette case.  These are so hard to find anymore that I was delighted with it.,Five Stars,1481846400.0,,{'Color:': ' Black'},,0.625,0.75,,,,,,
3.0,True,"11 16, 2016",A1200LTZD71U8Z,B00007GDFV,Sarah13,"Too small, and my lighter falls out all the time",Three Stars,1479254400.0,,{'Color:': ' Black'},,0.125,0.375,,,,,,
2.0,True,"10 25, 2016",A1CAOCSFFXYLNY,B00007GDFV,Ann,"It's ok, It doesn't close if you have 100's",Two Stars,1477353600.0,,{'Color:': ' Black'},,0.375,0.0,,,,,,
4.0,True,"10 22, 2016",A39QCH6O2YZDW3,B00007GDFV,Ann H.,"Nice quality, but a little small for 100's.  Would be great for shorts.",Four Stars,1477094400.0,,{'Color:': ' Black'},,0.375,0.75,,,,,,
5.0,True,"10 18, 2016",A1UXETM1SKWGUA,B00007GDFV,Carlene Humphreys,Exactly what I wanted. THANKS,Five Stars,1476748800.0,,{'Color:': ' Black'},,0.25,0.0,,,,,,
5.0,True,"10 11, 2016",A2UBF08AD81451,B00007GDFV,CAROL,"Just what I order,beru pleased.",beru pleased.,1476144000.0,,{'Color:': ' Black'},,0.625,0.0,,,,,,
5.0,True,"09 26, 2016",A3GUR769R24GT6,B00007GDFV,denise clark,all leather,Five Stars,1474848000.0,,{'Color:': ' Black'},,0.0,0.0,,,,,,
5.0,True,"09 14, 2016",ANKPT4Y83UPES,B00007GDFV,Amazon Customer,This works so very good to keep your cig.. lighter ans anything else you may want to eep in it,This works so very good to keep your cig,1473811200.0,,{'Color:': ' Black'},,1.0,0.375,,,,,,
5.0,True,"09 11, 2016",A1G296RX7P6LE2,B00007GDFV,Karol C. Mannherz,Perfect size and really nice!,Five Stars,1473552000.0,,{'Color:': ' Black'},,1.0,0.375,,,,,,
5.0,True,"08 20, 2016",A314QCYP9B2GWL,B00007GDFV,Cindy Reaux,Awesome,Five Stars,1471651200.0,,{'Color:': ' Black'},,0.0,0.0,,,,,,
5.0,True,"08 2, 2016",A3DPAXQ6HGRS3W,B00007GDFV,lara weber,"Soft leather, very well made.",Five Stars,1470096000.0,,{'Color:': ' Black'},,0.0,0.25,,,,,,
5.0,True,"07 30, 2016",A1JOKKNG15VE62,B00007GDFV,Amazon Customer,great!!,great!,1469836800.0,,{'Color:': ' Black'},,0.0,0.0,,,,,,
5.0,True,"07 21, 2016",A15J2WC6RKXTJF,B00007GDFV,Linda Staaf,Great,Five Stars,1469059200.0,,{'Color:': ' Black'},,0.0,0.0,,,,,,
1.0,True,"05 11, 2016",ALJEJH7DMUVB0,B00007GDFV,Pearl Hodge,NOT GOOD FOR ME I THOUGHT IT WAS 100 PK,One Star,1462924800.0,,{'Color:': ' Black'},,0.5,0.0,,,,,,
3.0,True,"05 6, 2016",A17MLTZBHMAWJB,B00007GDFV,Daryl,"Lining in lighter pocket tore within a very short time, had to dab a little contact adhesive between lining and leather to hold it in place and stop it bunching and snagging lighter. Purchased one black one brown, black one used most and has no centre seam down front lighter or rear coin pockets. Brown one has (pointless) decorative centre seam (as usually illustrated) front and rear. Front seam stitching has no reinforcing at lighter pocket opening. Looks likely to give trouble sooner rather than later. Leather is good and solid. Size is spot on for regular (84mm) packs of 20 (after a little use). O.k., But not the ""premium product"" I used to associate with the Buxton name many years ago.",Could be better.,1462492800.0,,{'Color:': ' Black'},,3.375,4.0,,,,,,
4.0,True,"03 10, 2016",A1ALMLGB7P0P9W,B00007GDFV,Theodore John,Good product but not for 100's or 120's.,Decent product,1457568000.0,,{'Color:': ' Black'},,0.75,0.0,,,,,,
1.0,True,"09 17, 2015",A766YIHEB710J,B00007GDFV,stacey echols,Too small,One Star,1442448000.0,,{'Color:': ' Black'},,0.0,0.375,,,,,,
4.0,True,"09 3, 2015",A1C4CHINHZ2DQZ,B00007GDFV,Debbie Accardo,"I like this case, but I smoke 100's and it is a little tighter fit than I would like. Otherwise it seems great quality",I like this case,1441238400.0,,{'Color:': ' Black'},,0.625,0.875,,,,,,
3.0,True,"08 19, 2015",AS0MJDADR27QL,B00007GDFV,Leslie Story,Nice case but not really large enough for the 100's cigarettes,Three Stars,1439942400.0,,{'Color:': ' Black'},,1.125,0.125,,,,,,
5.0,True,"08 15, 2015",AYUZJQLVLF3QS,B00007GDFV,Kara Padgett,"Great buy...the case is very soft and fits kings only, which is what my mom wanted... only problem is shipping, it arrived over a week later than was promised because it was sent all over the US I stead of straight to me...",Great case... very soft,1439596800.0,,{'Color:': ' Black'},,2.375,0.875,,,,,,
4.0,True,"08 5, 2015",A2W0ONN65O2TYF,B00007GDFV,Chip,"Good, just what I expected.",Four Stars,1438732800.0,,{'Color:': ' Black'},,1.0,0.25,,,,,,
4.0,True,"07 18, 2015",A22PZ25GW4W3BB,B00007GDFV,Susan,Bought this for my mom as hers was really worn out. Like the added addition of the zipper pocket!,tried and true!,1437177600.0,,{'Color:': ' Black'},,0.875,0.25,,,,,,
5.0,True,"06 4, 2015",AY7PVQ0RIC71D,B00007GDFV,Debra McCarty,"I had been looking for a replacement for a cigarette case I'd had for over 25 years and lost. After reviewing several I settled on this one. It was very well made, the leather was soft, not stiff or cheap looking. I loved the little front pocket that kept my lighter handy and easy to keep up with. There is even a small zippered pocket for change or whatever else. I was very pleased with it. Unfortunately, I had not read the description well enough and I discovered this case DOES NOT fit the 100's. It was such a nice case that I gave it to my daughter rather than return it. She has been more than pleased with it. I'm hoping the new one I have ordered is as nice.",Better than I expected,1433376000.0,8.0,{'Color:': ' Black'},,5.375,3.5,,,,,,
5.0,True,"06 2, 2015",A19CJ70DU6QCFL,B00007GDFV,Larry Du Bois,It's just what I wanted.,Five Stars,1433203200.0,,{'Color:': ' Black'},,0.25,0.0,,,,,,
3.0,True,"05 15, 2015",A3M8TFXX7X72B8,B00007GDFV,sherry millican,Pretty wallet but to small for the cigarettes,Three Stars,1431648000.0,,{'Color:': ' Black'},,0.0,0.375,,,,,,
3.0,True,"05 11, 2015",A3T2YVSZDD3CM7,B00007GDFV,Rebecca M Overbay,"I was disappointed to find the my 100's won't fit in this case. Otherwise, it was exactly what I wanted. If there is a bigger one just like this, I wish someone would point it out to me. I'd buy it in a heartbeat!","Too short, but lovely material",1431302400.0,,{'Color:': ' Black'},,1.375,0.75,,,,,,
2.0,True,"05 11, 2015",AVOQ2D9EYXWGR,B00007GDFV,Lisa Grenier,Is very small. Doesn't  fit my smokes...,Way to small for purpose.,1431302400.0,,{'Color:': ' Black'},,1.0,0.5,,,,,,
5.0,True,"05 7, 2015",A3P1G82E27TSGT,B00007GDFV,Julie B. Cannon,Worked great for my 100's I smoke.  Leather was supple and would definitely buy again. I wish It came in RED or PURPLE. Black is sooo hard to find in a black lined purse.,100's FIT!,1430956800.0,,{'Color:': ' Black'},,0.375,2.25,,,,,,
4.0,True,"04 26, 2015",AQGQYBQYR3STV,B00007GDFV,YaYa,"Perfect leather cigarette case/purse, if you smoke the shorties. I gave this 4 stars because I didn't read the fine print where it said it will not accommodate Lights 100s aka the longer cigarettes.",Not for the longer variety cigarettes.,1430006400.0,,{'Color:': ' Black'},,1.125,0.125,,,,,,
5.0,True,"04 16, 2015",A3TLFFGO88RXWZ,B00007GDFV,Brebojack,Hard to find and still the best,Five Stars,1429142400.0,,{'Color:': ' Black'},,0.75,0.0,,,,,,
4.0,True,"03 21, 2015",A1VGWYY619A5XP,B00007GDFV,Jacqueline Pendry,a little to short but will work,Four Stars,1426896000.0,,{'Color:': ' Black'},,0.0,1.0,,,,,,
4.0,True,"03 19, 2015",A3T0AMZM20RB0Q,B00007GDFV,JW,"Purchased 2 cases, the quality of the leather is really good, I just wish the case was a little larger,once you put your cigarettes and lighter in the case you don't have any room
to put anything in the little side zip pocket.",Buxton Heiress Cigarette Case,1426723200.0,,{'Color:': ' Black'},,1.75,1.5,,,,,,
2.0,True,"03 17, 2015",AY7JAF0XNNP2Y,B00007GDFV,sandi,doesn't fit 100's,Two Stars,1426550400.0,,{'Color:': ' Black'},,0.75,0.0,,,,,,
2.0,True,"03 6, 2015",A19IPL5EJ0LPXM,B00007GDFV,Winnie,It does not fit 100's,Two Stars,1425600000.0,,{'Color:': ' Black'},,0.75,0.0,,,,,,
1.0,True,"02 2, 2015",A27FYT0ON5V4YP,B00007GDFV,melissa gelb,"This product is not a good fit as it does not hold 100s, so I have to send it back.",This product is not a good fit as it does not hold 100s,1422835200.0,,{'Color:': ' Black'},,0.75,0.5,,,,,,
5.0,True,"01 13, 2015",A1HUT1KXYIX10E,B00007GDFV,John killmore,Love this case I have had about 10 of them over the years so glad you carry them,Five Stars,1421107200.0,,{'Color:': ' Black'},,0.5,0.0,,,,,,
1.0,True,"01 9, 2015",A1C9V3D7VQY0N0,B00007GDFV,NBJ,I ordered black got brown not happy!,Wrong color,1420761600.0,,{'Color:': ' Black'},,1.0,0.375,,,,,,
5.0,False,"10 9, 2014",A10FS7ZU5TZX5U,B00007GDFV,incognito,Buxton has always used quality leather in all of the products they have offered over the years and they still do. The case is very well constructed and should last many years.,Quality,1412812800.0,,{'Color:': ' Black'},,0.375,0.25,,,,,,
4.0,True,"09 11, 2014",A3RIJKIV3O22D7,B00007GDFV,Kristi Brown,barely holds a pack of 100's but would be better if i smoked regulars,Four Stars,1410393600.0,,{'Color:': ' Black'},,0.75,0.25,,,,,,
5.0,True,"09 5, 2014",AP8XUU73JEDOD,B00007GDFV,luv2sing,Very pleased with this cigarette case. I've had the exact same one before but I lost it. It holds up really well compared to some other cases I've owned. You won't be sorry if you purchase this and the price is right.,Love it !!!,1409875200.0,,{'Color:': ' Black'},,0.625,1.25,,,,,,
